cik,name,featured
1067983,Berkshire Hathaway (Warren Buffett),1
1649339,Scion Asset Management (Michael Burry),1
1336528,Pershing Square (Bill Ackman),1
1350694,Bridgewater Associates (Ray Dalio),1
1656456,Appaloosa (David Tepper),1
1037389,Renaissance Technologies,1
1423053,Citadel Advisors (Ken Griffin),1
1167483,Tiger Global Management,1
1040273,Third Point (Dan Loeb),1
1079114,Greenlight Capital (David Einhorn),1
1179392,Two Sigma Investments,1
1603466,Point72 Asset Management,1
1135730,Coatue Management,1
1061165,Lone Pine Capital,1
1273087,Millennium Management,1
1595082,DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,0
909661,FARALLON CAPITAL MANAGEMENT LLC,0
1167456,AQR Arbitrage LLC,0
1167557,AQR CAPITAL MANAGEMENT LLC,0
1697748,ARK Investment Management LLC,0
1541617,"Altimeter Capital Management, LP",0
1263508,BAKER BROS. ADVISORS LP,0
1061768,BAUPOST GROUP LLC/MA,0
1910971,Benchmark Investment Advisors LLC,0
1535472,Corvex Management LP,0
1536411,Duquesne Family Office LLC,0
1581811,Egerton Capital (UK) LLP,0
1791786,Elliott Investment Management L.P.,0
1138995,"GLENVIEW CAPITAL MANAGEMENT, LLC",0
1540944,"GREATMARK INVESTMENT PARTNERS, INC.",0
1510387,"Gotham Asset Management, LLC",0
1709323,Himalaya Capital Management LLC,0
1353316,"Hound Partners, LLC",0
921669,ICAHN CARL C,0
1998597,"JANA Partners Management, LP",0
2023551,"LANDMARK INVESTMENT PARTNERS, L.P.",0
1608485,LANSDOWNE PARTNERS (UK) LLP,0
1569049,"LIGHT STREET CAPITAL MANAGEMENT, LLC",0
1318757,"MARSHALL WACE, LLP",0
934639,MAVERICK CAPITAL LTD,0
2097025,"Millennium Capital Advisors, LLC",0
1277890,NANO CAP NEW MILLENNIUM GROWTH FUND L P,0
1035674,PAULSON & CO. INC.,0
1425851,Pentwater Capital Management LP,0
1954961,"Point72 Private Investments, LLC",0
1029160,SOROS FUND MANAGEMENT LLC,0
1054587,Sculptor Capital LP,0
1328785,"Senvest Management, LLC",0
1554871,Spark Investment Management LLC,0
1517137,Starboard Value LP,0
1345471,"TRIAN FUND MANAGEMENT, L.P.",0
1478735,"TWO SIGMA ADVISERS, LP",0
1974457,"TrueMark Investments, LLC",0
1595862,"Truffle Hound Capital, LLC",0
1103804,VIKING GLOBAL INVESTORS LP,0
1418814,"ValueAct Holdings, L.P.",0
1745981,WORLDQUANT MILLENNIUM ADVISORS LLC,0
1387322,Whale Rock Capital Management LLC,0
2230,"ADAMS DIVERSIFIED EQUITY FUND, INC.",0
3520,"FRED ALGER MANAGEMENT, LLC",0
24386,COOKE & BIELER LP,0
51812,STONEBRIDGE CAPITAL MANAGEMENT INC,0
52024,INVESTMENT MANAGEMENT ASSOCIATES INC /ADV,0
62039,MANNING & NAPIER ADVISORS LLC,0
89014,SENTRY INVESTMENT MANAGEMENT LLC,0
98758,TORRAY INVESTMENT PARTNERS LLC,0
107136,&PARTNERS,0
201772,ESSEX INVESTMENT MANAGEMENT CO LLC,0
216851,"ADAMS NATURAL RESOURCES FUND, INC.",0
225816,ROWLANDMILLER & PARTNERS.ADV,0
310051,KING LUTHER CAPITAL MANAGEMENT CORP,0
312348,LOOMIS SAYLES & CO L P,0
320376,MCRAE CAPITAL MANAGEMENT INC,0
